Case ID,Field,Annotator A,Annotator B,Source Link(s) / Citation(s)
46,Causal Location(s),Data; Model,Data; Model; Integration/Interface,https://incidentdatabase.ai/cite/665
47,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/693
47,Failure Mode(s),Information Quality/Input Handling Failure,Content Generation/Filtering Failure,https://incidentdatabase.ai/cite/693
47,Impact Dimension(s),Information integrity; Physical safety / health; Reputational / trust,Physical safety / health; Information integrity,https://incidentdatabase.ai/cite/693
47,Recovery / Maintenance Action(s),Model retraining/revalidation; Downstream validation addition; Organizational/process change,Local rollback/content correction; Threshold/configuration adjustment; Downstream validation addition,https://incidentdatabase.ai/cite/693
47,Causal Location(s),Data; Integration/Interface,Model; Integration/Interface,https://incidentdatabase.ai/cite/693
48,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/696
48,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/696
48,System Type,Recommendation/Ranking System,Decision-Support/Optimization System,https://incidentdatabase.ai/cite/696
48,Detection Timing,Immediate,Delayed,https://incidentdatabase.ai/cite/696
48,Impact Dimension(s),Financial / economic; Service / operational; Reputational / trust,Financial / economic; Service / operational,https://incidentdatabase.ai/cite/696
48,Recovery / Maintenance Action(s),Major algorithm redesign,Threshold/configuration adjustment; Monitoring/drift-detection addition; Downstream validation addition,https://incidentdatabase.ai/cite/696
48,Causal Location(s),Software/Implementation; Human/Organizational Governance,Model; Software/Implementation; Integration/Interface,https://incidentdatabase.ai/cite/696
49,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/699
49,Impact Dimension(s),Civil rights / fairness / access; Physical safety / health; Psychological / social,Physical safety / health; Civil rights / fairness / access,https://incidentdatabase.ai/cite/699
49,Recovery / Maintenance Action(s),Major algorithm redesign,Data correction; Model retraining/revalidation; Affected-case review/redress,https://incidentdatabase.ai/cite/699
49,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/699
50,Industry,Security & Law Enforcement,Government & Public Services,https://incidentdatabase.ai/cite/484
50,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/484
50,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/484
50,Impact Dimension(s),Civil rights / fairness / access; Legal / regulatory; Psychological / social,Civil rights / fairness / access; Legal / regulatory,https://incidentdatabase.ai/cite/484
50,Recovery / Maintenance Action(s),Policy/governance change,Model retraining/revalidation; Fallback/human-escalation addition; Interface/workflow/component modification,https://incidentdatabase.ai/cite/484
50,Causal Location(s),Data; Model,Data; Model; Integration/Interface,https://incidentdatabase.ai/cite/484
51,Manifestation Pattern,Hallucinated / fabricated output,Biased / disparate decision,https://incidentdatabase.ai/cite/645
51,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/645
51,Failure Mode(s),Objective/Metric Misalignment,Content Generation/Filtering Failure,https://incidentdatabase.ai/cite/645
51,Recovery / Maintenance Action(s),Model retraining/revalidation; Local rollback/content correction; Organizational/process change,Model retraining/revalidation; Policy/governance change; Downstream validation addition,https://incidentdatabase.ai/cite/645
51,Causal Location(s),Model; Human/Organizational Governance,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/645
52,Industry,Security & Law Enforcement,Technology & AI Services,https://incidentdatabase.ai/cite/1054
52,Manifestation Pattern,Manipulated / deceptive content,Multiple - specify,https://incidentdatabase.ai/cite/1054
52,Detector,Organization,Researcher/media,https://incidentdatabase.ai/cite/1054
52,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/1054
52,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/1054
52,Recovery / Maintenance Action(s),Monitoring/drift-detection addition; Policy/governance change,Monitoring/drift-detection addition; Policy/governance change; Organizational/process change,https://incidentdatabase.ai/cite/1054
52,Causal Location(s),Adversarial Actor; Integration/Interface,Adversarial Actor,https://incidentdatabase.ai/cite/1054
53,System Type,Generative/Conversational System,Composite/Multi-System AI,https://incidentdatabase.ai/cite/1055
53,Detection Signal,Contestation/appeal,Pattern/statistical,https://incidentdatabase.ai/cite/1055
53,Impact Dimension(s),Security / abuse; Service / operational; Financial / economic,Security / abuse; Service / operational; Information integrity,https://incidentdatabase.ai/cite/1055
53,Recovery / Maintenance Action(s),Monitoring/drift-detection addition,Monitoring/drift-detection addition; Organizational/process change; Legal/regulatory remediation,https://incidentdatabase.ai/cite/1055
53,Causal Location(s),Adversarial Actor; Integration/Interface,Adversarial Actor,https://incidentdatabase.ai/cite/1055
54,Industry,"Finance, Retail & Commerce",Social Media & Platforms,https://incidentdatabase.ai/cite/1056
54,Detector,Organization,Regulator/legal,https://incidentdatabase.ai/cite/1056
54,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/1056
54,Recovery / Maintenance Action(s),Local rollback/content correction; Monitoring/drift-detection addition; Legal/regulatory remediation,Local rollback/content correction; Legal/regulatory remediation,https://incidentdatabase.ai/cite/1056
55,Detection Signal,Behavioral anomaly,Contestation/appeal,https://incidentdatabase.ai/cite/1059
55,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/1059
55,Failure Mode(s),Identity/Impersonation/Deepfake,Disinformation/Manipulation,https://incidentdatabase.ai/cite/1059
55,Recovery / Maintenance Action(s),Local rollback/content correction; Policy/governance change,Local rollback/content correction; Monitoring/drift-detection addition,https://incidentdatabase.ai/cite/1059
56,System Type,Generative/Conversational System,Composite/Multi-System AI,https://incidentdatabase.ai/cite/1061
56,Industry,Security & Law Enforcement,Social Media & Platforms,https://incidentdatabase.ai/cite/1061
56,Risk Domain,Information Integrity & Content Harm,Security & Malicious Use,https://incidentdatabase.ai/cite/1061
56,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/1061
56,Impact Dimension(s),Information integrity; Reputational / trust; Legal / regulatory,Information integrity; Security / abuse; Reputational / trust,https://incidentdatabase.ai/cite/1061
56,Recovery / Maintenance Action(s),Monitoring/drift-detection addition; Downstream validation addition,Local rollback/content correction; Monitoring/drift-detection addition; Legal/regulatory remediation,https://incidentdatabase.ai/cite/1061
57,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/185
57,Impact Dimension(s),Information integrity; Reputational / trust; Psychological / social,Information integrity; Reputational / trust,https://incidentdatabase.ai/cite/185
57,Recovery / Maintenance Action(s),Monitoring/drift-detection addition; Downstream validation addition,Threshold/configuration adjustment; Monitoring/drift-detection addition; Policy/governance change,https://incidentdatabase.ai/cite/185
58,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/349
58,Manifestation Pattern,Multiple - specify,Misclassification / false positive,https://incidentdatabase.ai/cite/349
58,Transfer Mode,Silent,Signaled,https://incidentdatabase.ai/cite/349
58,Recovery Evidence Status,Documented,Inferred,https://incidentdatabase.ai/cite/349
58,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/349
58,Detection Timing,Immediate,Delayed,https://incidentdatabase.ai/cite/349
58,Impact Dimension(s),Physical safety / health; Service / operational; Legal / regulatory,Physical safety / health; Security / abuse; Reputational / trust,https://incidentdatabase.ai/cite/349
58,Recovery / Maintenance Action(s),Threshold/configuration adjustment; Fallback/human-escalation addition; Organizational/process change,Threshold/configuration adjustment; Model retraining/revalidation; Interface/workflow/component modification,https://incidentdatabase.ai/cite/349
58,Causal Location(s),Model; Operational Process; Human/Organizational Governance,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/349
59,Impact Dimension(s),Physical safety / health; Service / operational; Reputational / trust,Physical safety / health; Reputational / trust,https://incidentdatabase.ai/cite/173
59,Recovery / Maintenance Action(s),Downstream validation addition,Data correction; Model retraining/revalidation; Organizational/process change,https://incidentdatabase.ai/cite/173
59,Causal Location(s),Data; Model; Operational Process,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/173
60,Industry,Security & Law Enforcement,Social Media & Platforms,https://incidentdatabase.ai/cite/198
60,Detector,Organization,Researcher/media,https://incidentdatabase.ai/cite/198
60,Risk Domain,Information Integrity & Content Harm,Security & Malicious Use,https://incidentdatabase.ai/cite/198
60,Failure Mode(s),Nation-State/Military Exploitation,Disinformation/Manipulation,https://incidentdatabase.ai/cite/198
60,Impact Dimension(s),Information integrity; Security / abuse; Reputational / trust,Information integrity; Security / abuse; Psychological / social,https://incidentdatabase.ai/cite/198
60,Recovery / Maintenance Action(s),Local rollback/content correction; Organizational/process change,Local rollback/content correction; Monitoring/drift-detection addition; Policy/governance change,https://incidentdatabase.ai/cite/198
61,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225
61,Detector,Operator,Researcher/media,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225
61,Detection Signal,Pattern/statistical,Contestation/appeal,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225
61,Failure Mode(s),Safety Validation/Oversight Gap,Capability Limitation,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225
61,Impact Dimension(s),Physical safety / health; Service / operational; Reputational / trust,Physical safety / health; Financial / economic; Service / operational,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225
61,Recovery / Maintenance Action(s),Model retraining/revalidation; Major algorithm redesign; Legal/regulatory remediation,Service suspension/retirement; Model/subsystem replacement; Organizational/process change,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225
61,Causal Location(s),Operational Process; Human/Organizational Governance,Data; Model; Human/Organizational Governance,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225
62,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/639
62,Risk Assessment,High,Moderate,https://incidentdatabase.ai/cite/639
62,Amplification,N,Y,https://incidentdatabase.ai/cite/639
62,Risk Domain,Information Integrity & Content Harm,Service Reliability & Operations,https://incidentdatabase.ai/cite/639
62,Temporal Pattern,Recurring incidents,Single event,https://incidentdatabase.ai/cite/639
62,Recovery / Maintenance Action(s),Affected-case review/redress; Organizational/process change; Legal/regulatory remediation,Affected-case review/redress; Downstream validation addition; Policy/governance change,https://incidentdatabase.ai/cite/639
62,Causal Location(s),Data; Integration/Interface; Human/Organizational Governance,Model; Integration/Interface,https://incidentdatabase.ai/cite/639
63,Failure Category,Mixed/Hybrid,Operational,https://incidentdatabase.ai/cite/1139
63,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/1139
63,Recovery Complexity,Severe,Very High,https://incidentdatabase.ai/cite/1139
63,Amplification,N,Y,https://incidentdatabase.ai/cite/1139
63,Detection Signal,Contestation/appeal,Behavioral anomaly,https://incidentdatabase.ai/cite/1139
63,Failure Mode(s),Hallucination/Confabulation; Safety Validation/Oversight Gap,Information Quality/Input Handling Failure,https://incidentdatabase.ai/cite/1139
63,Recovery / Maintenance Action(s),Downstream validation addition; Organizational/process change; Legal/regulatory remediation,Affected-case review/redress; Downstream validation addition; Legal/regulatory remediation,https://incidentdatabase.ai/cite/1139
64,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/432
64,Transfer Mode,Signaled,Silent,https://incidentdatabase.ai/cite/432
64,Detector,Operator,Organization,https://incidentdatabase.ai/cite/432
64,Detection Signal,Explicit error/alarm,Consequence-based,https://incidentdatabase.ai/cite/432
64,Impact Dimension(s),Service / operational; Financial / economic; Reputational / trust,Service / operational; Legal / regulatory,https://incidentdatabase.ai/cite/432
64,Recovery / Maintenance Action(s),Software/pipeline repair; Interface/workflow/component modification,Architectural/platform redesign; Interface/workflow/component modification; Organizational/process change,https://incidentdatabase.ai/cite/432
64,Causal Location(s),Model,Software/Implementation; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/432
65,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/1085
65,Detector,Affected user,Regulator/legal,https://incidentdatabase.ai/cite/1085
65,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/1085
65,Temporal Pattern,Single event,Recurring incidents,https://incidentdatabase.ai/cite/1085
65,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/1085
65,Impact Dimension(s),Security / abuse; Privacy / data protection; Legal / regulatory,Security / abuse; Privacy / data protection; Reputational / trust,https://incidentdatabase.ai/cite/1085
65,Recovery / Maintenance Action(s),Monitoring/drift-detection addition; Interface/workflow/component modification,Organizational/process change; Policy/governance change; Legal/regulatory remediation,https://incidentdatabase.ai/cite/1085
66,System Type,Generative/Conversational System,Composite/Multi-System AI,https://incidentdatabase.ai/cite/1090
66,Detector,Affected user,Third party,https://incidentdatabase.ai/cite/1090
66,Detection Signal,Behavioral anomaly,Contestation/appeal,https://incidentdatabase.ai/cite/1090
66,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/1090
66,Impact Dimension(s),Security / abuse; Psychological / social; Education / employment,Security / abuse; Psychological / social; Information integrity,https://incidentdatabase.ai/cite/1090
66,Recovery / Maintenance Action(s),Monitoring/drift-detection addition; Interface/workflow/component modification,Monitoring/drift-detection addition; Policy/governance change; Legal/regulatory remediation,https://incidentdatabase.ai/cite/1090
67,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/1091
67,Industry,Social Media & Platforms,Technology & AI Services,https://incidentdatabase.ai/cite/1091
67,Detection Signal,Pattern/statistical,Behavioral anomaly,https://incidentdatabase.ai/cite/1091
67,Risk Domain,Information Integrity & Content Harm,Security & Malicious Use,https://incidentdatabase.ai/cite/1091
67,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/1091
67,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/1091
67,Impact Dimension(s),Information integrity; Legal / regulatory; Reputational / trust,Information integrity; Security / abuse; Reputational / trust,https://incidentdatabase.ai/cite/1091
67,Recovery / Maintenance Action(s),Monitoring/drift-detection addition; Policy/governance change,Local rollback/content correction; Monitoring/drift-detection addition; Policy/governance change,https://incidentdatabase.ai/cite/1091
67,Causal Location(s),Adversarial Actor; Human/Organizational Governance,Adversarial Actor,https://incidentdatabase.ai/cite/1091
68,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/1096
68,System Type,Generative/Conversational System,Composite/Multi-System AI,https://incidentdatabase.ai/cite/1096
68,Industry,Social Media & Platforms,Government & Public Services,https://incidentdatabase.ai/cite/1096
68,Detection Signal,Pattern/statistical,Behavioral anomaly,https://incidentdatabase.ai/cite/1096
68,Risk Domain,Information Integrity & Content Harm,Security & Malicious Use,https://incidentdatabase.ai/cite/1096
68,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/1096
68,Failure Mode(s),Identity/Impersonation/Deepfake,Disinformation/Manipulation,https://incidentdatabase.ai/cite/1096
68,Impact Dimension(s),Information integrity; Legal / regulatory; Reputational / trust,Information integrity; Reputational / trust; Security / abuse,https://incidentdatabase.ai/cite/1096
68,Recovery / Maintenance Action(s),Local rollback/content correction; Monitoring/drift-detection addition; Downstream validation addition,Local rollback/content correction; Monitoring/drift-detection addition,https://incidentdatabase.ai/cite/1096
69,Transfer Mode,Silent,Signaled,https://incidentdatabase.ai/cite/1442
69,Detector,IE,Organization,https://incidentdatabase.ai/cite/1442
69,Detection Signal,IE,Behavioral anomaly,https://incidentdatabase.ai/cite/1442
69,Recovery / Maintenance Action(s),Local rollback/content correction; Threshold/configuration adjustment; Organizational/process change,Software/pipeline repair; Local rollback/content correction; Organizational/process change,https://incidentdatabase.ai/cite/1442
69,Causal Location(s),Software/Implementation; Operational Process; Human/Organizational Governance,Software/Implementation; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/1442
70,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/149
70,Detection Timing,Retrospective,Delayed,https://incidentdatabase.ai/cite/149
70,Impact Dimension(s),Financial / economic; Service / operational; Education / employment,Financial / economic; Service / operational,https://incidentdatabase.ai/cite/149
70,Recovery / Maintenance Action(s),Service suspension/retirement; Model/subsystem replacement; Organizational/process change,Service suspension/retirement; Organizational/process change; Affected-case review/redress,https://incidentdatabase.ai/cite/149
70,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/149
71,Failure Category,Adversarial,Operational,https://incidentdatabase.ai/cite/84
71,Detector,Third party,Researcher/media,https://incidentdatabase.ai/cite/84
71,Temporal Pattern,Recurring incidents,Ongoing pattern,https://incidentdatabase.ai/cite/84
71,Failure Mode(s),Disinformation/Manipulation,Content Generation/Filtering Failure,https://incidentdatabase.ai/cite/84
71,Impact Dimension(s),Information integrity; Physical safety / health; Legal / regulatory,Physical safety / health; Civil rights / fairness / access; Information integrity,https://incidentdatabase.ai/cite/84
71,Recovery / Maintenance Action(s),Downstream validation addition; Interface/workflow/component modification,Model retraining/revalidation; Monitoring/drift-detection addition; Downstream validation addition,https://incidentdatabase.ai/cite/84
71,Causal Location(s),Adversarial Actor; Integration/Interface,Model; Operational Process,https://incidentdatabase.ai/cite/84
72,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/95
72,Detector,Third party,Regulator/legal,https://incidentdatabase.ai/cite/95
72,Detection Signal,Pattern/statistical,Contestation/appeal,https://incidentdatabase.ai/cite/95
72,Impact Dimension(s),Education / employment; Civil rights / fairness / access; Privacy / data protection,Financial / economic; Service / operational; Civil rights / fairness / access,https://incidentdatabase.ai/cite/95
72,Recovery / Maintenance Action(s),Service suspension/retirement; Policy/governance change,Model/subsystem replacement; Policy/governance change; Organizational/process change,https://incidentdatabase.ai/cite/95
72,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/95
73,Recovery Complexity,Severe,Very High,https://incidentdatabase.ai/cite/143
73,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/143
73,Impact Dimension(s),Civil rights / fairness / access; Psychological / social; Reputational / trust,Physical safety / health; Civil rights / fairness / access; Psychological / social,https://incidentdatabase.ai/cite/143
73,Recovery / Maintenance Action(s),Model retraining/revalidation; Monitoring/drift-detection addition; Policy/governance change,Data correction; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/143
74,Industry,Social Media & Platforms,Technology & AI Services,https://incidentdatabase.ai/cite/636
74,Detection Signal,Pattern/statistical,Behavioral anomaly,https://incidentdatabase.ai/cite/636
74,Impact Dimension(s),Privacy / data protection; Security / abuse; Psychological / social,Privacy / data protection; Psychological / social; Reputational / trust,https://incidentdatabase.ai/cite/636
74,Recovery / Maintenance Action(s),Legal/regulatory remediation,Software/pipeline repair; Organizational/process change; Policy/governance change,https://incidentdatabase.ai/cite/636
74,Causal Location(s),Data; Software/Implementation; Human/Organizational Governance,Software/Implementation; Human/Organizational Governance,https://incidentdatabase.ai/cite/636
75,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/635
75,Risk Domain,Information Integrity & Content Harm,Security & Malicious Use,https://incidentdatabase.ai/cite/635
75,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/635
75,Recovery / Maintenance Action(s),Local rollback/content correction; Monitoring/drift-detection addition; Organizational/process change,Local rollback/content correction; Monitoring/drift-detection addition; Policy/governance change,https://incidentdatabase.ai/cite/635
76,Propagation Reach,P1 - Single downstream component/decision,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/631
76,Amplification,N,Y,https://incidentdatabase.ai/cite/631
76,Risk Domain,Information Integrity & Content Harm,"Social, Psychological & Trust",https://incidentdatabase.ai/cite/631
76,Failure Mode(s),Design/Implementation Defect,Content Generation/Filtering Failure,https://incidentdatabase.ai/cite/631
76,Impact Dimension(s),Service / operational; Reputational / trust; Psychological / social,Physical safety / health; Service / operational; Psychological / social,https://incidentdatabase.ai/cite/631
76,Recovery / Maintenance Action(s),Software/pipeline repair; Fallback/human-escalation addition,Local rollback/content correction; Downstream validation addition; Organizational/process change,https://incidentdatabase.ai/cite/631
76,Causal Location(s),Software/Implementation,Model; Operational Process,https://incidentdatabase.ai/cite/631
77,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/644
77,Recovery Complexity,Severe,Very High,https://incidentdatabase.ai/cite/644
77,Detector,Third party,Researcher/media,https://incidentdatabase.ai/cite/644
78,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P1 - Single downstream component/decision,https://incidentdatabase.ai/cite/839
78,Industry,Security & Law Enforcement,Technology & AI Services,https://incidentdatabase.ai/cite/839
78,Amplification,Y,N,https://incidentdatabase.ai/cite/839
78,Detector,Third party,Affected user,https://incidentdatabase.ai/cite/839
78,Impact Dimension(s),Security / abuse; Privacy / data protection; Psychological / social,Security / abuse; Privacy / data protection; Financial / economic,https://incidentdatabase.ai/cite/839
78,Recovery / Maintenance Action(s),Monitoring/drift-detection addition,Organizational/process change; Policy/governance change,https://incidentdatabase.ai/cite/839
79,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/844
79,Detection Signal,Contestation/appeal,Pattern/statistical,https://incidentdatabase.ai/cite/844
79,Impact Dimension(s),Civil rights / fairness / access; Financial / economic; Legal / regulatory,Financial / economic; Service / operational; Civil rights / fairness / access,https://incidentdatabase.ai/cite/844
80,Detector,Affected user,Researcher/media,https://incidentdatabase.ai/cite/849
80,Detection Signal,Pattern/statistical,Contestation/appeal,https://incidentdatabase.ai/cite/849
80,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/849
80,Impact Dimension(s),Education / employment; Civil rights / fairness / access; Psychological / social,Civil rights / fairness / access; Education / employment,https://incidentdatabase.ai/cite/849
80,Recovery / Maintenance Action(s),Data correction; Model retraining/revalidation; Local rollback/content correction,Model retraining/revalidation; Affected-case review/redress; Policy/governance change,https://incidentdatabase.ai/cite/849
80,Causal Location(s),Data; Model; Human/Organizational Governance,Data; Model; Operational Process,https://incidentdatabase.ai/cite/849
81,Recovery Complexity,Severe,Very High,https://incidentdatabase.ai/cite/859
81,Impact Dimension(s),Information integrity; Civil rights / fairness / access; Legal / regulatory,Information integrity; Civil rights / fairness / access; Reputational / trust,https://incidentdatabase.ai/cite/859
81,Recovery / Maintenance Action(s),Model retraining/revalidation; Downstream validation addition; Policy/governance change,Data correction; Model retraining/revalidation; Downstream validation addition,https://incidentdatabase.ai/cite/859
81,Causal Location(s),Data; Model; Integration/Interface,Data; Model; Operational Process,https://incidentdatabase.ai/cite/859
82,Propagation Reach,P2 - Multi-component/workflow/system-wide,P1 - Single downstream component/decision,https://incidentdatabase.ai/cite/881
82,Amplification,Y,N,https://incidentdatabase.ai/cite/881
82,Impact Dimension(s),Service / operational; Physical safety / health,Financial / economic; Service / operational,https://incidentdatabase.ai/cite/881
82,Recovery / Maintenance Action(s),Interface/workflow/component modification; Organizational/process change,Model retraining/revalidation; Software/pipeline repair; Downstream validation addition,https://incidentdatabase.ai/cite/881
82,Causal Location(s),Integration/Interface; Software/Implementation,Model; Integration/Interface,https://incidentdatabase.ai/cite/881
83,Risk Assessment,High,Moderate,https://incidentdatabase.ai/cite/882
83,Recovery Complexity,Severe,Very High,https://incidentdatabase.ai/cite/882
83,Industry,Social Media & Platforms,Technology & AI Services,https://incidentdatabase.ai/cite/882
83,Manifestation Pattern,Biased / disparate decision,Multiple - specify,https://incidentdatabase.ai/cite/882
83,Risk Domain,"Fairness, Civil Rights & Access","Social, Psychological & Trust",https://incidentdatabase.ai/cite/882
83,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/882
83,Recovery / Maintenance Action(s),Service suspension/retirement; Policy/governance change; Organizational/process change,Local rollback/content correction; Service suspension/retirement; Downstream validation addition,https://incidentdatabase.ai/cite/882
83,Causal Location(s),Data; Model; Human/Organizational Governance,Data; Model; Integration/Interface,https://incidentdatabase.ai/cite/882
84,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/740
84,Recovery Complexity,Severe,Very High,https://incidentdatabase.ai/cite/740
84,Impact Dimension(s),Civil rights / fairness / access; Financial / economic; Privacy / data protection,Financial / economic; Service / operational; Civil rights / fairness / access,https://incidentdatabase.ai/cite/740
85,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/830
85,Manifestation Pattern,False negative / omission,Multiple - specify,https://incidentdatabase.ai/cite/830
85,Detector,Affected user,Third party,https://incidentdatabase.ai/cite/830
85,Detection Signal,Pattern/statistical,Contestation/appeal,https://incidentdatabase.ai/cite/830
85,Failure Mode(s),Representation/Low-Resource Gap,Capability Limitation,https://incidentdatabase.ai/cite/830
85,Recovery / Maintenance Action(s),Model/subsystem replacement; Downstream validation addition; Legal/regulatory remediation,Software/pipeline repair; Downstream validation addition; Interface/workflow/component modification,https://incidentdatabase.ai/cite/830
85,Causal Location(s),Data; Model; Human/Organizational Governance,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/830
86,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/374
86,Impact Dimension(s),Education / employment; Civil rights / fairness / access; Legal / regulatory,Civil rights / fairness / access; Reputational / trust; Education / employment,https://incidentdatabase.ai/cite/374
87,Transfer Mode,Silent,Signaled,https://incidentdatabase.ai/cite/453
87,Detection Signal,Behavioral anomaly,Contestation/appeal,https://incidentdatabase.ai/cite/453
87,Recovery / Maintenance Action(s),Organizational/process change,Local rollback/content correction; Threshold/configuration adjustment; Organizational/process change,https://incidentdatabase.ai/cite/453
87,Causal Location(s),Model; Human/Organizational Governance,Model; Operational Process,https://incidentdatabase.ai/cite/453
88,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/123
88,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/123
88,Manifestation Pattern,Multiple - specify,Incorrect score / prediction / allocation,https://incidentdatabase.ai/cite/123
88,Failure Mode(s),Prediction/Calibration Failure,Capability Limitation,https://incidentdatabase.ai/cite/123
88,Impact Dimension(s),Physical safety / health; Service / operational; Reputational / trust,Physical safety / health,https://incidentdatabase.ai/cite/123
88,Recovery / Maintenance Action(s),Model retraining/revalidation; Monitoring/drift-detection addition; Downstream validation addition,Model retraining/revalidation; Threshold/configuration adjustment; Downstream validation addition,https://incidentdatabase.ai/cite/123
88,Causal Location(s),Data; Model; Human/Organizational Governance,Data; Model; Integration/Interface,https://incidentdatabase.ai/cite/123
89,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/290
89,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/290
89,Failure Mode(s),Prediction/Calibration Failure,Capability Limitation,https://incidentdatabase.ai/cite/290
