Case ID,Source Link(s) / Citation(s),Date,Entity,System Type,Title,Industry,Application Domain,Failure Category,Failure Mode(s),Manifestation Pattern,Manifestation — Brief Description,Propagation Reach,Boundary Transfer,Transfer Mode,Amplification,Propagation Chain,Detection Timing,Detector,Detection Signal,Impact Dimension(s),Risk Assessment,Risk Domain,Risk Subdomain,Recovery Complexity,Recovery Evidence Status,Recovery / Maintenance Action(s),Causal Location(s),Causal Mechanism,Missing Safeguard,Root Cause Description,Lifecycle Phase,Temporal Pattern,Timing / Period,Incident Year,Analysis Primary Category,Analysis Subcategory,Analysis Risk Level,Analysis Sector,Analysis Recovery Level,Propagation Level,Propagation Label
52,https://incidentdatabase.ai/cite/1054,2025-04-23,Anthropic,Generative/Conversational System,"Claude Misuse for Influence Operations, Credential Stuffing, Recruitment Fraud, and Malware Development",Security & Law Enforcement,Conversational AI and Language Processing,Adversarial,Security Exploitation,Manipulated / deceptive content,"Claude was used to support influence operations, credential attacks, recruitment fraud, and malware development.",P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI model → prompt engineering → automated content generation → mass deployment across platforms → amplified societal/security impact,Delayed,Organization,Pattern/statistical,Security / abuse; Financial / economic; Information integrity,Severe,Security & Malicious Use,Adversarial exploitation and dual-use capabilities,High,Inferred,Monitoring/drift-detection addition; Policy/governance change,Adversarial Actor; Software/Implementation; Operational Process,Claude LLM exploited through sophisticated prompt engineering for multiple malicious purposes: orchestrating influence operations with automated social media personas; conducting credential stuffing attacks; executing recruitment fraud campaigns; and assisting malware development.,"abuse controls, access restrictions, and attack monitoring","Claude LLM exploited through sophisticated prompt engineering for multiple malicious purposes: orchestrating influence operations with automated social media personas; conducting credential stuffing attacks; executing recruitment fraud campaigns; and assisting malware development. Anthropic detected and banned accounts but could not confirm downstream deployment impacts. Safeguards for abuse controls, access restrictions, and attack monitoring were absent or inadequate.",Post-deployment,Ongoing pattern,,2025,Adversarial,Security Exploitation,Severe,Security & Law Enforcement,High,P3,Cross-organizational/ecosystem/public-scale
53,https://incidentdatabase.ai/cite/1055,2025-04-29,Government of China; Chinese Communist Party,Generative/Conversational System,FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions,Security & Law Enforcement,Nation-state cyber warfare and targeting critical infrastructure.,Adversarial,Nation-State/Military Exploitation,Unauthorized access / data exposure,"State-linked actors used AI tools to support phishing, network intrusion, and infrastructure-targeting operations.",P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI tools → enhanced attack efficiency → infrastructure penetration → lateral movement → persistent access → potential destructive capabilities across energy/telecom/government sectors,Retrospective,Regulator/legal,Pattern/statistical,Security / abuse; Information integrity; Service / operational,Severe,Security & Malicious Use,Nation-state adversarial exploitation and critical infrastructure targeting,Very High,Inferred,Monitoring/drift-detection addition,Adversarial Actor,"Chinese state-backed actors (Volt Typhoon, Salt Typhoon) systematically integrated AI tools across cyber attack lifecycle to enhance efficiency and scale of critical infrastructure intrusions.",threat monitoring and controls against high-risk malicious use,"Chinese state-backed actors (Volt Typhoon, Salt Typhoon) systematically integrated AI tools across cyber attack lifecycle to enhance efficiency and scale of critical infrastructure intrusions. AI applications included: LLM-generated spear phishing for initial access; deepfake technology for business email compromise; AI-assisted network mapping for lateral movement; automated vulnerability scanning. Multi-year campaigns compromised energy systems, telecommunications networks, and government facilities with AI enabling more sophisticated and scalable operations.",Post-deployment,Ongoing pattern,The documented infrastructure-intrusion campaigns were multi-year.,2025,Adversarial,Disinformation & Manipulation,Severe,Security & Law Enforcement,Very High,P3,Cross-organizational/ecosystem/public-scale
54,https://incidentdatabase.ai/cite/1056,2025-02-12,Unknown deepfake technology developer; Unknown scammers,Generative/Conversational System,Deepfake videos impersonated Malta’s president in cryptocurrency scam campaigns,"Finance, Retail & Commerce",Deepfake technology and synthetic media generation,Adversarial,Identity/Impersonation/Deepfake,Manipulated / deceptive content,Scammers distributed deepfake videos impersonating Malta’s president to promote cryptocurrency fraud.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,Deepfake AI system → synthetic media generation → multi-platform distribution → public exposure → potential financial losses → reputational damage to public figure → erosion of trust in authentic content,Delayed,Organization,Behavioral anomaly,Security / abuse; Financial / economic; Reputational / trust,High,Security & Malicious Use,Deepfake-enabled financial fraud and public figure impersonation,Moderate,Inferred,Local rollback/content correction; Legal/regulatory remediation,Adversarial Actor,Deepfake AI technology exploited to create convincing impersonations of Malta's President Myriam Spiteri Debono for cryptocurrency fraud campaigns.,"identity verification, provenance labeling, and distribution controls","Deepfake AI technology exploited to create convincing impersonations of Malta's President Myriam Spiteri Debono for cryptocurrency fraud campaigns. AI-generated videos and images distributed across Facebook, Instagram, and X/Twitter platforms, requiring official government warning. Demonstrates vulnerability of public figures to AI-powered identity theft and the challenge of detecting sophisticated synthetic media at scale across multiple platforms.",Post-deployment,Single event,,2025,Adversarial,Identity & Targeting,High,"Finance, Retail & Commerce",Moderate,P3,Cross-organizational/ecosystem/public-scale
55,https://incidentdatabase.ai/cite/1059,2025-05-06,Unknown deepfake technology developer,Generative/Conversational System,Second Consecutive Year of Alleged AI-Generated Images Depicting Katy Perry at Met Gala Circulating Online,Social Media & Platforms,Synthetic media generation and celebrity impersonation,Adversarial,Disinformation/Manipulation,Manipulated / deceptive content,Synthetic images falsely depicted Katy Perry attending the Met Gala.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI image generator → synthetic media creation → viral social media distribution → widespread public belief → epistemic confusion → erosion of trust in authentic visual media → normalization of synthetic content deception,Delayed,Affected user,Behavioral anomaly,Information integrity; Reputational / trust; Psychological / social,Moderate,Information Integrity & Content Harm,Synthetic celebrity-event misinformation,Moderate,Documented,Local rollback/content correction,Adversarial Actor,"AI image generation technology exploited to create convincing synthetic images of Katy Perry attending the 2025 Met Gala, leading to widespread public confusion when she had not actually attended.","identity verification, provenance labeling, and distribution controls","AI image generation technology exploited to create convincing synthetic images of Katy Perry attending the 2025 Met Gala, leading to widespread public confusion when she had not actually attended. This represents the second consecutive year of identical AI-generated celebrity impersonation at the same event, indicating a pattern of epistemic manipulation. While no clear malicious actor or financial harm has been identified, the incident demonstrates how AI-generated synthetic media can systematically erode public trust in authentic visual evidence and create sustained confusion about factual events.",Post-deployment,Recurring incidents,Similar AI-generated Katy Perry images circulated for the second consecutive Met Gala year.,2025,Adversarial,Disinformation & Manipulation,Moderate,Social Media & Platforms,Moderate,P3,Cross-organizational/ecosystem/public-scale
56,https://incidentdatabase.ai/cite/1061,2025-02-07,Storm-1679; Matryoshka; Russian-linked disinformation network,Generative/Conversational System,Viral USAID Disinformation Video Linked to Russian-Aligned Matryoshka Campaign,Security & Law Enforcement,AI-powered disinformation and influence operations,Adversarial,Nation-State/Military Exploitation,Manipulated / deceptive content,A Russian-aligned network distributed an AI-generated video containing false USAID claims.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI synthetic media tools → fake news video creation → brand impersonation (E! News) → viral social media distribution → public belief formation → reputational damage to multiple entities → erosion of trust in legitimate media and government agencies,Retrospective,Researcher/media,Pattern/statistical,Information integrity; Reputational / trust; Legal / regulatory,Severe,Information Integrity & Content Harm,Nation-state disinformation operations and synthetic media warfare,Very High,Documented,Monitoring/drift-detection addition,Adversarial Actor,Russian-aligned disinformation campaign (Matryoshka/Storm-1679) exploited AI voice cloning and deepfake technology to create viral fake news video falsely claiming USAID paid celebrities millions to visit Ukraine.,threat monitoring and controls against high-risk malicious use,"Russian-aligned disinformation campaign (Matryoshka/Storm-1679) exploited AI voice cloning and deepfake technology to create viral fake news video falsely claiming USAID paid celebrities millions to visit Ukraine. AI-generated content mimicked legitimate E! News branding and featured synthetic British-accented narration, achieving widespread distribution on X/Twitter.",Post-deployment,Ongoing pattern,,2025,Adversarial,Disinformation & Manipulation,Severe,Security & Law Enforcement,Very High,P3,Cross-organizational/ecosystem/public-scale
57,https://incidentdatabase.ai/cite/185,2022-03-01,TikTok; ByteDance,Recommendation/Ranking System,"TikTok's ""For You"" Algorithm Directed New Users towards Disinformation about Ukraine War",Social Media & Platforms,AI-driven content recommendation and algorithmic curation,Operational,Objective/Metric Misalignment,Incorrect recommendation / ranking / amplification,TikTok’s recommendation system rapidly filled new users’ feeds with Ukraine-war disinformation.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI recommendation system → engagement optimization → misinformation amplification → viral content distribution → user belief formation → widespread false understanding of geopolitical events → erosion of information credibility,Retrospective,Researcher/media,Pattern/statistical,Information integrity; Reputational / trust; Psychological / social,Severe,Information Integrity & Content Harm,amplification of misinformation and propaganda,High,Inferred,Monitoring/drift-detection addition,Model; Human/Organizational Governance,"TikTok's AI recommendation algorithm systematically promoted false and misleading content about the Russia-Ukraine war, exposing new users to disinformation within 40 minutes of joining.",safety and quality constraints alongside performance objectives,"TikTok's AI recommendation algorithm systematically promoted false and misleading content about the Russia-Ukraine war, exposing new users to disinformation within 40 minutes of joining. The algorithm's design to maximize engagement led to amplification of viral misinformation including fake combat footage, manipulated audio, and propaganda. Investigation found feeds became exclusively populated with war content mixing false and accurate information without distinction, affecting users' understanding of current events.",Post-deployment,Ongoing pattern,,2022,Operational,Design & Implementation,Severe,Social Media & Platforms,High,P3,Cross-organizational/ecosystem/public-scale
58,https://incidentdatabase.ai/cite/349,2022-03-22,Evolv Technology; Charlotte Mecklenburg School District,Moderation/Filtering/Detection System,Evolv's Gun Detection False Positives Created Problems for Schools,Education & Workforce,AI-based security screening and threat detection,Operational,Safety Validation/Oversight Gap,Misclassification / false positive,Evolv weapons scanners missed actual weapons while producing large numbers of false alarms.,P3 — Cross-organizational/ecosystem/public-scale,Y,Signaled,Y,AI Weapon Detection → School Safety Protocols → Student Protection → Security Personnel Response → Emergency Procedures → Public Safety → Educational Environment → Community Trust,Delayed,Operator,Consequence-based,Security / abuse; Legal / regulatory; Reputational / trust,High,Safety & Health,threat detection accuracy and public safety,Very High,Inferred,Threshold/configuration adjustment,Model; Operational Process; Human/Organizational Governance,"Evolv Technology's AI-powered weapons detection scanners, deployed across 800+ schools and marketed as superior to traditional metal detectors, demonstrated critical performance failures that directly compromised student safety.",independent safety validation and meaningful human oversight,"Evolv Technology's AI-powered weapons detection scanners, deployed across 800+ schools and marketed as superior to traditional metal detectors, demonstrated critical performance failures that directly compromised student safety. The AI system failed to detect a 7-inch knife brought into a school in October 2022, which was subsequently used to stab a student. When school officials attempted to improve detection by increasing sensitivity settings, the system generated a 50% false alarm rate, undermining security effectiveness.",Post-deployment,Ongoing pattern,The documented pattern included a missed knife incident in October 2022.,2022,Operational,Safety Validation,High,Education & Workforce,Very High,P3,Cross-organizational/ecosystem/public-scale
59,https://incidentdatabase.ai/cite/173,2021-07-30,Multiple AI research teams worldwide; Various hospitals,Composite/Multi-System AI,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful",Healthcare & Medicine,Medical AI diagnosis and patient risk prediction,Mixed/Hybrid,Data/Domain Shift; Safety Validation/Oversight Gap,Incorrect score / prediction / allocation,COVID-19 prediction models produced unreliable clinical predictions across varied hospital settings.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,Poor training data → model bias embedding → incorrect feature learning → unreliable diagnostic outputs → clinical deployment → potential patient misdiagnosis → erosion of trust in medical AI → research resource waste,Retrospective,Researcher/media,Pattern/statistical,Physical safety / health; Reputational / trust; Service / operational,Severe,Safety & Health,Unvalidated pandemic medical AI,Very High,Inferred,Downstream validation addition,Data; Model; Operational Process,"During COVID-19 pandemic, the global AI research community developed 600+ diagnostic and risk prediction tools, with none proven fit for clinical use.",deployment-context validation and drift monitoring; independent safety validation and meaningful human oversight,"During COVID-19 pandemic, the global AI research community developed 600+ diagnostic and risk prediction tools, with none proven fit for clinical use. Systematic failures included poor quality training data with mislabeling and bias, AI models learning irrelevant features (hospital fonts, patient positions, age demographics), a lack of proper validation, and deployment of unvalidated tools in clinical settings. Studies found potential for patient harm from unreliable diagnoses.",Post-deployment,Ongoing pattern,"During the COVID-19 pandemic, more than 600 diagnostic and risk-prediction tools were reviewed.",2021,Mixed/Hybrid,Distributional + Operational,Severe,Healthcare & Medicine,Very High,P3,Cross-organizational/ecosystem/public-scale
60,https://incidentdatabase.ai/cite/198,2022-03-16,Unknown deepfake technology developer; Hackers,Generative/Conversational System,Deepfake video falsely showed Ukraine’s president surrendering to Russia,Social Media & Platforms,Deepfake technology for wartime disinformation,Adversarial,Disinformation/Manipulation,Manipulated / deceptive content,Attackers distributed a deepfake video falsely showing Ukraine’s president announcing surrender.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,Deepfake AI system → synthetic political leader video → hacked media distribution → social media amplification → wartime psychological impact → potential troop/civilian morale effects → international diplomatic complications → erosion of authentic communication trust,Immediate,Organization,Behavioral anomaly,Security / abuse; Information integrity; Reputational / trust,Severe,Security & Malicious Use,Wartime presidential deepfake,High,Documented,Local rollback/content correction,Adversarial Actor,"During Russia-Ukraine war, unknown actors exploited deepfake AI technology to create synthetic video of President Volodymyr Zelenskyy falsely encouraging Ukrainian surrender to Russian forces.",threat monitoring and controls against high-risk malicious use,"During Russia-Ukraine war, unknown actors exploited deepfake AI technology to create synthetic video of President Volodymyr Zelenskyy falsely encouraging Ukrainian surrender to Russian forces. Poor-quality deepfake showed technical artifacts (misaligned head/neck) but was distributed through hacked Ukrainian news channel (Ukraine 24) and social media platforms. Required official presidential response and platform removal by Facebook/YouTube.",Post-deployment,Single event,,2022,Adversarial,Disinformation & Manipulation,Severe,Social Media & Platforms,High,P3,Cross-organizational/ecosystem/public-scale
61,https://www.massdevice.com/report-ibm-watson-delivered-unsafe-and-inaccurate-cancer-recommendations/ ; https://incidentdatabase.ai/cite/225,2018-07-25,IBM Watson Health,Decision-Support/Optimization System,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations,Healthcare & Medicine,AI-assisted cancer treatment recommendation and clinical decision support,Operational,Safety Validation/Oversight Gap,Incorrect recommendation / ranking / amplification,Watson for Oncology generated unsafe and incorrect cancer-treatment recommendations.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI diagnostic/treatment failure → unsafe medical recommendations → potential patient harm → physician loss of trust → hospital operational disruption → broader medical AI credibility damage → slowdown of AI adoption in healthcare,Retrospective,Operator,Pattern/statistical,Physical safety / health; Financial / economic; Service / operational,Severe,Safety & Health,Unsafe oncology decision support,Very High,Inferred,Model retraining/revalidation; Major algorithm redesign; Legal/regulatory remediation,Human/Organizational Governance; Operational Process,"IBM Watson for Oncology AI system deployed across 230 hospitals globally provided ""unsafe and incorrect treatment recommendations"" for cancer patients.",independent safety validation and meaningful human oversight,"IBM Watson for Oncology AI system deployed across 230 hospitals globally provided ""unsafe and incorrect treatment recommendations"" for cancer patients. Internal IBM documents revealed multiple examples of dangerous advice, with physicians describing system as unusable for most cases. Despite IBM claims of training on real patient data, system appeared to lack proper clinical foundation.",Post-deployment,Ongoing pattern,,2018,Operational,Safety Validation,Severe,Healthcare & Medicine,Very High,P3,Cross-organizational/ecosystem/public-scale
62,https://incidentdatabase.ai/cite/639,2022-11-11,Air Canada,Generative/Conversational System,Air Canada Lost Court Case for 'Remarkable' Lying AI Chatbot,Transportation & Automotive,AI-powered customer service and policy information,Operational,Information Quality/Input Handling Failure,Hallucinated / fabricated output,Air Canada’s chatbot invented a bereavement-fare policy that contradicted the airline’s actual rules.,P2 — Multi-component/workflow/system-wide,Y,Silent,Y,AI chatbot hallucination → customer misinformation → policy contradiction → customer reliance on false advice → airline refusal → legal dispute → court judgment establishing AI liability → precedent for AI system accountability,Delayed,Affected user,Behavioral anomaly,Financial / economic; Legal / regulatory; Reputational / trust,Moderate,Information Integrity & Content Harm,hallucination in customer-facing policy information systems,Moderate,Documented,Affected-case review/redress,Integration/Interface; Data,"Air Canada's AI customer service chatbot provided incorrect bereavement fare policy information to grieving customer, stating they could apply retroactively for reduced fares when company policy explicitly prohibited this.",authoritative data grounding and output verification,"Air Canada's AI customer service chatbot provided incorrect bereavement fare policy information to grieving customer, stating they could apply retroactively for reduced fares when company policy explicitly prohibited this. Chatbot even linked to policy page that contradicted its own advice. Customer relied on AI information and pursued refund, leading to legal dispute when refused.",Post-deployment,Single event,,2022,Operational,Information Quality,Moderate,Transportation & Automotive,Moderate,P2,Multi-component/workflow/system-wide
63,https://incidentdatabase.ai/cite/1139,2025-06-30,Legal Genius; Northbound Processing Legal Team,Generative/Conversational System,Legal Genius AI Produced Non-Existent Case Law in South African Court Filing,Other,AI-powered legal research and case citation generation,Operational,Safety Validation/Oversight Gap,Hallucinated / fabricated output,The legal-research tool generated nonexistent case citations that were submitted in a court filing.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI legal research tool → fabricated case citations → court submission → judicial discovery → credibility undermining → professional misconduct investigation → legal profession trust erosion → judicial system integrity impact,Delayed,Regulator/legal,Contestation/appeal,Legal / regulatory; Information integrity; Reputational / trust,High,"Legal, Regulatory & Governance",Fabricated legal citations,Severe,Inferred,Downstream validation addition; Legal/regulatory remediation,Model; Integration/Interface; Operational Process,Legal Genius AI tool generated multiple fabricated case law citations in an urgent South African court filing for the Northbound Processing licensing dispute.,"factual grounding, uncertainty signaling, and output verification; independent safety validation and meaningful human oversight","Legal Genius AI tool generated multiple fabricated case law citations in an urgent South African court filing for the Northbound Processing licensing dispute. AI produced non-existent legal references despite claiming to have been trained solely on South African legal sources. The legal team used AI output without verification due to time pressures, resulting in the submission of fictitious case citations to the Johannesburg High Court.",Post-deployment,Single event,,2025,Operational,Safety Validation,High,Other,Severe,P3,Cross-organizational/ecosystem/public-scale
64,https://incidentdatabase.ai/cite/432,2022-12-21,Southwest Airlines; General Electric,Decision-Support/Optimization System,Southwest crew-scheduling optimizer disrupted the airline’s flight network,Transportation & Automotive,AI-powered crew scheduling and airline operations optimization,Operational,Capability Limitation,Service disruption / unavailability,The crew-scheduling optimizer failed during disruptions and produced unusable assignments across the flight network.,P2 — Multi-component/workflow/system-wide,Y,Signaled,Y,AI scheduling system failure → manual operations fallback → communication system overload → crew assignment chaos → flight cancellation cascade → passenger stranding → network-wide operational collapse → financial and reputational damage,Immediate,Operator,Explicit error/alarm,Financial / economic; Service / operational; Reputational / trust,Severe,Service Reliability & Operations,Airline scheduling failure under stress,Very High,Documented,Interface/workflow/component modification,Model,Southwest Airlines' SkySolver AI crew scheduling system failed catastrophically during the Christmas week 2022 winter storm.,robust validation for expected edge cases and safe fallback handling,Southwest Airlines' SkySolver AI crew scheduling system failed catastrophically during the Christmas week 2022 winter storm. The system designed to reassign crews after flight disruptions was overwhelmed by the scale and complexity of widespread cancellations. AI failure forced manual crew scheduling with 8+ hour phone hold times and nonsensical assignments.,Post-deployment,Ongoing pattern,network disruption during December 2022 storm operations,2022,Operational,Capability Limitation,Severe,Transportation & Automotive,Very High,P2,Multi-component/workflow/system-wide
65,https://incidentdatabase.ai/cite/1085,2025-05-30,Unknown voice cloning technology developer; Unknown scammers,Generative/Conversational System,White House Chief of Staff Susie Wiles Phone Breached in AI Voice Impersonation Incident,Security & Law Enforcement,AI voice synthesis for social engineering and government targeting,Adversarial,Identity/Impersonation/Deepfake,Manipulated / deceptive content,Attackers used cloned voice messages and spoofed texts to impersonate the White House chief of staff.,P2 — Multi-component/workflow/system-wide,Y,Silent,Y,AI voice cloning → government official impersonation → contact list access → high-profile network targeting → potential intelligence gathering → broader government infiltration → national security compromise → international implications,Delayed,Affected user,Pattern/statistical,Security / abuse; Privacy / data protection; Legal / regulatory,High,Security & Malicious Use,Senior-official voice impersonation,Very High,Inferred,Monitoring/drift-detection addition; Interface/workflow/component modification,Adversarial Actor,"Unknown attackers exploited AI voice cloning technology to impersonate White House Chief of Staff Susie Wiles, breaching her phone to access high-profile contacts including senators, governors, and business executives.","identity verification, provenance labeling, and distribution controls","Unknown attackers exploited AI voice cloning technology to impersonate White House Chief of Staff Susie Wiles, breaching her phone to access high-profile contacts including senators, governors, and business executives. AI-generated voice messages and spoofed texts were sent claiming to be Wiles as part of broader FBI-identified campaign targeting senior U.S. officials since April 2025.",Post-deployment,Single event,,2025,Adversarial,Identity & Targeting,High,Security & Law Enforcement,Very High,P2,Multi-component/workflow/system-wide
66,https://incidentdatabase.ai/cite/1090,2025-05-30,Unknown scam network based in South Africa,Generative/Conversational System,"AI-Generated Clickbait Targets Adolescents in Rockingham County, North Carolina",Education & Workforce,AI-generated content for targeted scams and malware distribution,Adversarial,Targeting/Surveillance Abuse,Manipulated / deceptive content,An AI-driven clickbait network used local student likenesses and fabricated headlines to target adolescents.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI content generation → fake headline creation → student likeness exploitation → geographic targeting → minor identification → malware deployment → community-wide security threat → educational environment disruption,Retrospective,Affected user,Behavioral anomaly,Security / abuse; Information integrity; Psychological / social,High,Security & Malicious Use,targeting and exploitation of minors,High,Inferred,Monitoring/drift-detection addition,Adversarial Actor,"South African-based scam network exploited AI content generation technology to create fake headlines and use local student likenesses targeting adolescents in Rockingham County, North Carolina.",safeguards against harmful demographic targeting and profiling,"South African-based scam network exploited AI content generation technology to create fake headlines and use local student likenesses targeting adolescents in Rockingham County, North Carolina. AI system generated sensational clickbait designed to lure students to malicious websites that deployed harmful ads or malware once visitors were identified as students or locals. Proxyware investigation traced nearly 100 websites to a centralized operation.",Post-deployment,Ongoing pattern,,2025,Adversarial,Identity & Targeting,High,Education & Workforce,High,P3,Cross-organizational/ecosystem/public-scale
67,https://incidentdatabase.ai/cite/1091,2023-01-23,Synthesia; Unknown actors,Generative/Conversational System,Synthesia Avatars Used in Pro-Junta Deepfake Video Supporting Ibrahim Traoré in Burkina Faso,Social Media & Platforms,AI avatar generation for political content creation,Adversarial,Disinformation/Manipulation,Manipulated / deceptive content,Actors used synthetic avatars to distribute coordinated pro-junta political messages.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI avatar generation → fake political endorsement → social media distribution → regime legitimacy enhancement → democratic process undermining → international perception manipulation → platform reputation damage,Retrospective,Researcher/media,Pattern/statistical,Information integrity; Reputational / trust; Legal / regulatory,High,Information Integrity & Content Harm,political manipulation and regime propaganda,High,Documented,Monitoring/drift-detection addition; Policy/governance change,Adversarial Actor,Unknown actors exploited Synthesia AI avatar generation platform to create fake videos of purported American pan-Africanists supporting Burkina Faso's military junta led by Ibrahim Traoré.,provenance controls and coordinated-manipulation detection,Unknown actors exploited Synthesia AI avatar generation platform to create fake videos of purported American pan-Africanists supporting Burkina Faso's military junta led by Ibrahim Traoré. Multiple AI-generated avatars read identical pro-regime scripts circulated via WhatsApp and social media during January 2023 coup period. Synthesia confirmed terms of service violation and banned user after viral spread.,Post-deployment,Ongoing pattern,During the January 2023 coup period.,2023,Adversarial,Disinformation & Manipulation,High,Social Media & Platforms,High,P3,Cross-organizational/ecosystem/public-scale
68,https://incidentdatabase.ai/cite/1096,2025-05-25,Univers Inspirant; Unknown deepfake technology developers,Generative/Conversational System,AI-Generated Video Depicts Ibrahim Traoré Delivering Speech on Western Exploitation,Social Media & Platforms,AI deepfake generation for political content and disinformation,Adversarial,Identity/Impersonation/Deepfake,Manipulated / deceptive content,A synthetic video and cloned voice falsely depicted Burkina Faso’s president delivering a political speech.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI deepfake creation → fictional content distribution → disclaimer bypass → viral social media spread → authentic interpretation → political opinion influence → regime support amplification → democratic process undermining,Retrospective,Researcher/media,Pattern/statistical,Information integrity; Reputational / trust; Legal / regulatory,High,Information Integrity & Content Harm,Presidential deepfake manipulation and regime propaganda,High,Inferred,Local rollback/content correction; Monitoring/drift-detection addition,Adversarial Actor,Unknown actors used deepfake video and voice cloning to fabricate a presidential speech that circulated as authentic political content.,"identity verification, provenance labeling, and distribution controls","Univers Inspirant and unknown actors created AI deepfake video showing Burkina Faso President Ibrahim Traoré delivering anti-Western speech using deepfake and voice cloning technology. Despite YouTube channel disclaimers stating content was ""entirely fictional"" and ""for entertainment purposes only,"" video circulated across social platforms with viewers interpreting it as authentic presidential address. AI detection analysis showed 95-100% probability of AI generation.",Post-deployment,Ongoing pattern,Part of a broader pro-junta disinformation campaign from March–May 2025.,2025,Adversarial,Identity & Targeting,High,Social Media & Platforms,High,P3,Cross-organizational/ecosystem/public-scale
69,https://incidentdatabase.ai/cite/1442,2025-12-15,Amazon Web Services,Generative/Conversational System,Kiro coding agent was implicated in a prolonged AWS service outage,Technology & AI Services,Cloud infrastructure / developer tooling operations,Operational,Safety Validation/Oversight Gap,Service disruption / unavailability,The coding agent executed a destructive delete-and-recreate action that disrupted AWS Cost Explorer.,P2 — Multi-component/workflow/system-wide,Y,Signaled,Y,"Full four-stage trace: destructive action → executed through legitimate permission path with no safeguard triggering (the ""silent transfer"" is authorization-level, not output-level — interesting variant) → regional service outage → 13-hour customer-facing disruption. P3 defensible given customer-org spillover; boundary judgment noted",IE,IE,IE,Service / operational; Financial / economic; Reputational / trust,High,Service Reliability & Operations,Autonomous-agent action bypassing operational oversight,Moderate,Documented,Local rollback/content correction; Organizational/process change,Software/Implementation; Operational Process; Human/Organizational Governance,Inherited elevated permissions and a misconfiguration allowed the coding agent to execute a destructive delete-and-recreate action without dual approval.,independent safety validation and meaningful human oversight,"Elevated permissions inherited from a human operator, combined with a permissions misconfiguration, allowed an agentic coding tool to autonomously execute a destructive environment operation without the required dual approval. Safeguards for independent safety validation and meaningful human oversight were absent or inadequate.",Post-deployment,Single event,,2025,Operational,Safety Validation,High,Technology & AI Services,Moderate,P2,Multi-component/workflow/system-wide
70,https://incidentdatabase.ai/cite/149,2021-11-02,Zillow,Predictive/Scoring Model,Zillow valuation algorithm failed during volatile housing-market conditions,"Finance, Retail & Commerce",AI-powered property valuation and automated home buying/selling,Distributional,Data/Domain Shift,Incorrect score / prediction / allocation,Zillow’s valuation algorithm generated unreliable home-price forecasts during volatile market conditions.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI prediction failure → incorrect home valuations → poor purchase decisions → inventory accumulation → financial losses → business model failure → workforce reduction → market exit,Delayed,Organization,Pattern/statistical,Financial / economic; Service / operational; Education / employment,Severe,Financial & Economic Harm,Volatile-market home valuation failure,Very High,Documented,Service suspension/retirement; Organizational/process change,Data; Model,"Zillow's Zestimate algorithm, trained on millions of home valuations since 2006, failed catastrophically when deployed for automated home buying/selling during 2020-2021 pandemic market volatility.",deployment-context validation and drift monitoring,"Zillow's Zestimate algorithm, trained on millions of home valuations since 2006, failed catastrophically when deployed for automated home buying/selling during 2020-2021 pandemic market volatility. System required property price predictions accurate within few thousand dollars over 3-6 month horizons, but achieved ""far more volatile error rates than ever expected possible."" Algorithm sold homes for 5-7% less than forecast in Q3 2021, leading to massive financial losses. CEO Rich Barton acknowledged ""unpredictability in forecasting home prices far exceeds what we anticipated."" Complete shutdown of iBuying business and 25% workforce reduction followed, demonstrating AI vulnerability to market conditions outside training distribution.",Post-deployment,Ongoing pattern,"Failures occurred during 2020–2021 pandemic housing-market volatility, with a sharp shift from Q2 to Q3 2021.",2021,Distributional,Prediction & Drift,Severe,"Finance, Retail & Commerce",Very High,P3,Cross-organizational/ecosystem/public-scale
